date,open,high,low,close,volume,open_interest,contract,undajusted_close
2005-05-06,80.93254579,81.01171401,80.28789024,80.35574872,1117180,2131817,200506,111.015625
2005-05-09,80.36705847,80.36705847,80.19741227,80.28789024,543711,2085913,200506,110.921875
2005-05-10,80.26527075,80.68373137,80.253961,80.61587289,764055,2101030,200506,111.375
2005-05-11,80.64980213,80.95516528,80.49146568,80.70635086,1154699,2184350,200506,111.5
2005-05-12,80.69504111,80.9099263,80.45753644,80.81944832,947014,2162598,200506,111.65625
2005-05-13,80.87599706,81.12481148,80.72897035,81.04564325,877004,2200973,200506,111.96875
2005-05-16,81.04564325,81.17005046,80.9099263,81.056953,626179,2217405,200506,111.984375
2005-05-17,81.01171401,81.23790894,80.87599706,81.12481148,765432,2258809,200506,112.078125
2005-05-18,81.11350173,81.49803311,81.056953,81.38493565,1013072,2302636,200506,112.4375
2005-05-19,81.29445768,81.39624539,81.12481148,81.15874072,763744,2266874,200506,112.125
2005-05-20,81.15874072,81.18136021,81.06826275,81.10219199,564925,2147520,200506,112.046875
2005-05-23,81.056953,81.56589159,81.00040427,81.45279413,873964,2236481,200506,112.53125
2005-05-24,81.48672337,81.96173272,81.46410387,81.79208652,1232793,2184815,200506,113
2005-05-25,81.87125475,82.09744968,81.47541362,81.58851108,1471024,2097089,200506,112.71875
2005-05-26,81.53196235,81.66767931,81.32838692,81.46410387,974846,2002878,200506,112.546875
2005-05-27,81.50934286,81.56589159,81.36231616,81.52065261,509746,1974682,200506,112.625
